timestamp,voltage,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
1785668606259,84455.000000,89488.000000,77580.000000,0.050339,0.053339,0.046241,0.049973
1785668606763,84506.000000,89668.000000,77817.000000,0.050370,0.053446,0.046383,0.050066
1785668607267,84384.000000,89796.000000,77800.000000,0.050297,0.053523,0.046372,0.050064
1785668607771,84633.000000,89685.000000,77795.000000,0.050445,0.053456,0.046369,0.050090
1785668608281,84438.000000,89562.000000,77892.000000,0.050329,0.053383,0.046427,0.050046
1785668608784,84387.000000,89706.000000,77809.000000,0.050299,0.053469,0.046378,0.050048
1785668609288,84661.000000,89843.000000,77713.000000,0.050462,0.053551,0.046321,0.050111
1785668609793,101455.000000,90960.000000,82082.000000,0.060472,0.054216,0.048925,0.054538
1785668610302,86334.000000,90949.000000,79882.000000,0.051459,0.054210,0.047613,0.051094
1785668610805,86317.000000,92038.000000,79205.000000,0.051449,0.054859,0.047210,0.051173
1785668611309,86322.000000,91224.000000,79348.000000,0.051452,0.054374,0.047295,0.051040
1785668611814,85948.000000,90874.000000,79271.000000,0.051229,0.054165,0.047249,0.050881
1785668612323,86049.000000,91131.000000,79447.000000,0.051289,0.054318,0.047354,0.050987
1785668612827,86106.000000,91065.000000,79256.000000,0.051323,0.054279,0.047240,0.050947
1785668613330,88414.000000,89502.000000,82314.000000,0.052699,0.053347,0.049063,0.051703
1785668613834,86123.000000,89910.000000,82068.000000,0.051333,0.053591,0.048916,0.051280
1785668614343,85886.000000,91495.000000,80542.000000,0.051192,0.054535,0.048007,0.051245
1785668614848,86103.000000,91153.000000,79633.000000,0.051321,0.054331,0.047465,0.051039
1785668615351,85969.000000,90736.000000,79290.000000,0.051242,0.054083,0.047261,0.050862
1785668615855,86014.000000,91805.000000,78799.000000,0.051268,0.054720,0.046968,0.050985
1785668616364,86099.000000,91176.000000,79177.000000,0.051319,0.054345,0.047193,0.050952
1785668616868,85821.000000,90772.000000,79216.000000,0.051153,0.054104,0.047216,0.050825
1785668617373,85860.000000,90876.000000,79220.000000,0.051177,0.054166,0.047219,0.050854
1785668617877,85918.000000,90995.000000,79354.000000,0.051211,0.054237,0.047299,0.050916
1785668618385,85831.000000,90758.000000,79113.000000,0.051159,0.054096,0.047155,0.050803
1785668618889,85782.000000,90710.000000,79090.000000,0.051130,0.054067,0.047141,0.050780
1785668619393,87872.000000,91314.000000,79945.000000,0.052376,0.054427,0.047651,0.051485
1785668619898,86580.000000,91698.000000,79854.000000,0.051606,0.054656,0.047597,0.051286
1785668620406,85857.000000,91522.000000,79567.000000,0.051175,0.054551,0.047426,0.051051
1785668620910,85991.000000,91343.000000,79679.000000,0.051255,0.054445,0.047492,0.051064
1785668621414,83709.000000,91683.000000,79673.000000,0.049894,0.054647,0.047489,0.050677
1785668621918,86507.000000,91653.000000,79811.000000,0.051562,0.054629,0.047571,0.051254
1785668622427,85980.000000,91564.000000,79603.000000,0.051248,0.054576,0.047447,0.051091
1785668622931,86019.000000,91736.000000,79682.000000,0.051271,0.054679,0.047494,0.051148
1785668623435,86178.000000,91446.000000,79583.000000,0.051366,0.054506,0.047435,0.051102
1785668623939,86035.000000,91283.000000,79387.000000,0.051281,0.054409,0.047318,0.051003
1785668624448,85940.000000,91410.000000,79533.000000,0.051224,0.054485,0.047405,0.051038
1785668624952,86044.000000,91435.000000,79591.000000,0.051286,0.054500,0.047440,0.051075
1785668625456,85979.000000,91310.000000,79450.000000,0.051247,0.054425,0.047356,0.051009
1785668625960,85839.000000,91069.000000,79281.000000,0.051164,0.054281,0.047255,0.050900
1785668626469,85960.000000,91344.000000,79529.000000,0.051236,0.054445,0.047403,0.051028
1785668626973,85953.000000,91288.000000,79474.000000,0.051232,0.054412,0.047370,0.051005
1785668627477,85834.000000,91127.000000,79278.000000,0.051161,0.054316,0.047253,0.050910
1785668627981,85710.000000,91018.000000,79288.000000,0.051087,0.054251,0.047259,0.050866
1785668628490,85925.000000,91304.000000,79484.000000,0.051215,0.054421,0.047376,0.051004
1785668628994,85904.000000,91213.000000,79311.000000,0.051203,0.054367,0.047273,0.050948
1785668629498,85720.000000,91024.000000,79201.000000,0.051093,0.054255,0.047207,0.050852
1785668630002,85727.000000,91100.000000,79343.000000,0.051097,0.054300,0.047292,0.050896
1785668630511,85881.000000,91204.000000,79411.000000,0.051189,0.054362,0.047333,0.050961
1785668631015,85747.000000,91007.000000,79229.000000,0.051109,0.054244,0.047224,0.050859
1785668631519,85744.000000,90923.000000,79309.000000,0.051107,0.054194,0.047272,0.050858
1785668632023,85796.000000,91139.000000,79417.000000,0.051138,0.054323,0.047336,0.050933
1785668632532,85771.000000,91054.000000,79261.000000,0.051124,0.054272,0.047243,0.050880
1785668633036,85673.000000,90796.000000,79240.000000,0.051065,0.054119,0.047231,0.050805
1785668633540,85638.000000,91010.000000,79360.000000,0.051044,0.054246,0.047302,0.050864
1785668634044,85833.000000,91115.000000,79387.000000,0.051160,0.054309,0.047318,0.050929
1785668634553,85695.000000,90809.000000,79099.000000,0.051078,0.054126,0.047147,0.050784
1785668635057,85641.000000,90864.000000,79220.000000,0.051046,0.054159,0.047219,0.050808
1785668635561,85681.000000,91062.000000,79387.000000,0.051070,0.054277,0.047318,0.050888
1785668636065,85701.000000,91104.000000,79295.000000,0.051082,0.054302,0.047264,0.050883
1785668636574,85590.000000,90758.000000,79130.000000,0.051016,0.054096,0.047165,0.050759
1785668637078,85677.000000,90955.000000,79274.000000,0.051067,0.054213,0.047251,0.050844
1785668637582,85723.000000,91148.000000,79317.000000,0.051095,0.054328,0.047277,0.050900
1785668638086,85702.000000,90997.000000,79228.000000,0.051082,0.054238,0.047224,0.050848
1785668638595,85567.000000,90864.000000,79145.000000,0.051002,0.054159,0.047174,0.050778
1785668639099,85694.000000,91020.000000,79326.000000,0.051078,0.054252,0.047282,0.050871
1785668639603,85744.000000,91025.000000,79311.000000,0.051107,0.054255,0.047273,0.050879
1785668640107,85649.000000,90858.000000,78984.000000,0.051051,0.054156,0.047078,0.050762
1785668640616,85603.000000,90964.000000,79182.000000,0.051023,0.054219,0.047196,0.050813
1785668641120,85718.000000,91064.000000,79203.000000,0.051092,0.054278,0.047209,0.050860
1785668641624,85681.000000,90931.000000,79102.000000,0.051070,0.054199,0.047148,0.050806
1785668642128,85545.000000,90723.000000,78976.000000,0.050989,0.054075,0.047073,0.050712
1785668642637,85650.000000,91024.000000,79168.000000,0.051051,0.054255,0.047188,0.050831
1785668643140,85676.000000,90949.000000,79119.000000,0.051067,0.054210,0.047159,0.050812
1785668643645,85575.000000,90755.000000,78984.000000,0.051007,0.054094,0.047078,0.050726
1785668644149,85465.000000,90730.000000,78963.000000,0.050941,0.054079,0.047066,0.050695
